x_m,y_m,w_tr_right_m,w_tr_left_m
17.695030,5.215884,0.1500,0.6171
17.704282,5.269060,0.1500,0.6171
17.711874,5.322405,0.1500,0.6171
17.718679,5.374956,0.1500,0.6171
17.724704,5.428476,0.1500,0.6213
17.728980,5.481895,0.1500,0.6249
17.732394,5.535130,0.1500,0.6249
17.734969,5.588099,0.1500,0.6249
17.735747,5.641595,0.1500,0.6249
17.735631,5.694562,0.1500,0.6249
17.733672,5.747801,0.1500,0.6249
17.729795,5.800263,0.1500,0.6249
17.724914,5.851889,0.1500,0.6249
17.718092,5.903489,0.1500,0.6187
17.709264,5.954028,0.1500,0.6144
17.699356,6.004326,0.1500,0.6116
17.687441,6.054225,0.1500,0.6093
17.674452,6.103572,0.1500,0.6029
17.659472,6.152221,0.1500,0.5950
17.642572,6.200030,0.1500,0.5882
17.623825,6.246865,0.1500,0.5835
17.604178,6.292593,0.1500,0.5794
17.581858,6.337093,0.1500,0.5749
17.557931,6.380244,0.1500,0.5723
17.532482,6.421935,0.1500,0.5699
17.504614,6.462057,0.1500,0.5667
17.476270,6.500509,0.1500,0.5653
17.445687,6.537196,0.1500,0.5640
17.412959,6.572026,0.1500,0.5635
17.379164,6.604914,0.1500,0.5601
17.343528,6.635783,0.1500,0.5560
17.306146,6.664558,0.1500,0.5533
17.268969,6.691172,0.1500,0.5521
17.230245,6.715562,0.1500,0.5511
17.190075,6.737672,0.1500,0.5510
17.150415,6.757451,0.1500,0.5443
17.109518,6.774854,0.1500,0.5323
17.067491,6.789842,0.1500,0.5212
17.024442,6.802380,0.1500,0.5115
16.981348,6.812441,0.1500,0.5029
16.938320,6.820001,0.1500,0.4949
16.894599,6.825044,0.1500,0.4875
16.850300,6.827558,0.1500,0.4812
16.805534,6.827539,0.1500,0.4730
16.761286,6.824985,0.1500,0.4611
16.716686,6.819902,0.1500,0.4498
16.671850,6.812302,0.1500,0.4398
16.626894,6.802202,0.1500,0.4310
16.582804,6.789625,0.1500,0.4233
16.538714,6.774597,0.1500,0.4172
16.495612,6.757155,0.1500,0.4123
16.452637,6.737336,0.1500,0.4092
16.409908,6.715186,0.1500,0.4075
16.368419,6.690757,0.1500,0.4036
16.327307,6.664103,0.1500,0.3985
16.286699,6.635289,0.1500,0.3949
16.246717,6.604381,0.1500,0.3945
16.209342,6.571452,0.1500,0.3945
16.172847,6.536583,0.1500,0.3945
16.137364,6.499857,0.1500,0.3945
16.102907,6.461365,0.1500,0.3945
16.069492,6.421204,0.1500,0.3945
16.038120,6.379473,0.1500,0.3945
16.008808,6.336282,0.1500,0.3945
15.980708,6.291743,0.1500,0.3996
15.954825,6.245975,0.1500,0.4056
15.930198,6.199101,0.1500,0.4056
15.906853,6.151253,0.1500,0.4056
15.884812,6.102564,0.1500,0.4056
15.863986,6.053177,0.1500,0.4056
15.843414,6.003239,0.1500,0.4056
15.823987,5.952901,0.1500,0.4056
15.805612,5.902323,0.1500,0.4056
15.787325,5.850683,0.1500,0.4038
15.770016,5.799018,0.1500,0.3564
15.753588,5.745646,0.1500,0.2975
15.737945,5.692593,0.1500,0.2446
15.722991,5.638184,0.1500,0.2027
15.708631,5.583466,0.1500,0.1802
15.694767,5.528619,0.1500,0.1500
15.681305,5.472957,0.1500,0.1500
15.668147,5.417535,0.1500,0.1500
15.655199,5.361553,0.1500,0.1500
15.642363,5.305199,0.1500,0.1500
15.629544,5.249642,0.1500,0.1500
15.616647,5.193218,0.1702,0.1500
15.603574,5.136984,0.2063,0.1500
15.590230,5.081125,0.2309,0.1500
15.576519,5.025828,0.2763,0.1500
15.562344,4.970295,0.3214,0.1500
15.547611,4.915580,0.3567,0.1500
15.532222,4.860881,0.3569,0.1500
15.516082,4.807250,0.3572,0.1500
15.499095,4.754867,0.3579,0.1500
15.481165,4.702059,0.3602,0.1500
15.462195,4.650855,0.3612,0.1500
15.442090,4.600445,0.3628,0.1500
15.420753,4.550888,0.3658,0.1500
15.398089,4.502239,0.3688,0.1500
15.374002,4.454550,0.3688,0.1500
15.349379,4.407870,0.3688,0.1500
15.323259,4.362246,0.3688,0.1500
15.295547,4.317722,0.3688,0.1500
15.267135,4.274339,0.3688,0.1500
15.238047,4.232134,0.3688,0.1500
15.207325,4.190274,0.3688,0.1500
15.175866,4.149771,0.3676,0.1500
15.142715,4.110654,0.3606,0.1500
15.108773,4.072946,0.3562,0.1500
15.074071,4.036667,0.3529,0.1500
15.038645,4.001838,0.3472,0.1500
15.002532,3.968472,0.3426,0.1500
14.965775,3.935713,0.3406,0.1500
14.927432,3.903683,0.3406,0.1500
14.888417,3.872496,0.3406,0.1500
14.848777,3.843133,0.3406,0.1500
14.807577,3.815587,0.3406,0.1500
14.765735,3.789849,0.3406,0.1500
14.723306,3.765905,0.3406,0.1500
14.680342,3.742870,0.3406,0.1500
14.635919,3.721707,0.3415,0.1500
14.590963,3.702392,0.3430,0.1500
14.545536,3.684029,0.3444,0.1500
14.499701,3.667569,0.3445,0.1500
14.453525,3.652106,0.3451,0.1500
14.406092,3.638585,0.3460,0.1500
14.358341,3.626092,0.3463,0.1500
14.310345,3.615561,0.3475,0.1500
14.262179,3.606940,0.3481,0.1500
14.212935,3.600175,0.3481,0.1500
14.163561,3.594336,0.3481,0.1500
14.113154,3.590346,0.3475,0.1500
14.062664,3.588138,0.3475,0.1500
14.012174,3.587642,0.3460,0.1500
13.960786,3.587917,0.3454,0.1500
13.909456,3.589869,0.3454,0.1500
13.858273,3.593418,0.3454,0.1500
13.807329,3.598481,0.3454,0.1500
13.755734,3.604100,0.3448,0.1500
13.704453,3.611170,0.3371,0.1500
13.653583,3.619595,0.3285,0.1500
13.602240,3.629278,0.3239,0.1500
