# converted from stack_master/maps/f/global_waypoints.json (global_traj_wpnts_iqp)
# fields_id_unused
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
5.098722027085646147e+00;-7.391073345205466438e+00;-1.775063423151423336e+01;1.648403468121035331e+00;-6.370927159265872552e-02;7.512696200989309681e+00;5.002639104481967358e+00;2.135252163373727807e+00;3.668791785302995545e-01
5.198696968793207418e+00;-7.398517730859193620e+00;-1.765094139376807547e+01;1.642372146064877469e+00;-5.689761640185376362e-02;7.578976270847422647e+00;4.964466031807026170e+00;2.142435798760830234e+00;3.594397036776806331e-01
5.298671910500769577e+00;-7.405395594493024092e+00;-1.755120000757828791e+01;1.637032965231915771e+00;-4.990645018873156313e-02;7.644182475474173621e+00;4.926878292114567515e+00;2.149306979876258517e+00;3.525692413287481175e-01
5.398646852208330849e+00;-7.411775178974042255e+00;-1.745143436857001262e+01;1.632394138879996515e+00;-4.288477386206271391e-02;7.708349658549180639e+00;4.889857398077428030e+00;2.155680549911056065e+00;3.461976398275540268e-01
5.498621793915893008e+00;-7.417727470322654781e+00;-1.735163470723970747e+01;1.628459994125922572e+00;-3.581411813096257307e-02;7.771510848935195170e+00;4.853385815997231845e+00;2.161627659747409780e+00;3.402550671482885147e-01
5.598596735623454279e+00;-7.423321973835218301e+00;-1.725181972913185291e+01;1.625221838273816832e+00;-2.945149047184235369e-02;7.833697390325636611e+00;4.817446897961976227e+00;2.167217406584068140e+00;3.580852638239034880e-01
5.698571677331016438e+00;-7.428621708755490438e+00;-1.715198325789808820e+01;1.622520687138146567e+00;-2.458351733484444995e-02;7.894939059220200228e+00;4.782024820098271789e+00;2.172512910748658488e+00;3.809842770836418535e-01
5.798546619038577710e+00;-7.433675828672649644e+00;-1.705213806349230410e+01;1.620303991881303585e+00;-1.986400803304422952e-02;7.955264172487775731e+00;4.747104526260665480e+00;2.177563052972040225e+00;3.759869026499277900e-01
5.898521560746139869e+00;-7.438531615597570479e+00;-1.695227894144771241e+01;1.618538287405318910e+00;-1.545761637799280934e-02;8.014699685618472458e+00;4.712671676582641744e+00;2.182415203710585949e+00;3.711859195456572169e-01
5.998496502453701140e+00;-7.443232872044953652e+00;-1.685241680977775047e+01;1.617213229261713847e+00;-1.105453750977741095e-02;8.073271282631303336e+00;4.678712600388094778e+00;2.187112937223816722e+00;3.665391804076693072e-01
6.098471444161263300e+00;-7.447823955076199098e+00;-1.675254515817321987e+01;1.616327609802451493e+00;-6.661362256650617958e-03;8.131003458487750635e+00;4.645214253017485362e+00;2.191700727053020881e+00;3.620017721872689775e-01
6.198446385868824571e+00;-7.452348265257392690e+00;-1.665267565444624864e+01;1.615878794634015847e+00;-2.425892493648946178e-03;8.187919594760861841e+00;4.612164176176914765e+00;2.196221735647352347e+00;3.575322014133712201e-01
6.298421327576386730e+00;-7.456848281473649642e+00;-1.655280098142873868e+01;1.615831199040018262e+00;1.474118026696930863e-03;8.244042029222489631e+00;4.579550461468393507e+00;2.194219691696903229e+00;3.530873964979275303e-01
6.398396269283948001e+00;-7.461362673462923034e+00;-1.645293105275007051e+01;1.616158757283758129e+00;4.455649915881019357e-03;8.299392119935721013e+00;4.547361716789684039e+00;2.181001462173357996e+00;3.486304647019948244e-01
6.498371210991509273e+00;-7.465920205214583660e+00;-1.635306018482162926e+01;1.616656561247038493e+00;5.502850494951144408e-03;8.353990304373690279e+00;4.515587035336342758e+00;2.172351106180801850e+00;3.444052846721099015e-01
6.598346152699071432e+00;-7.470532577346127745e+00;-1.625319247765131436e+01;1.617252311098390738e+00;6.133355081818274435e-03;8.407856154028563012e+00;4.484215966961292210e+00;2.168335632279917657e+00;3.682918845502117788e-01
