x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
4.021140,0.809546,0.5033,1.1111,0.148742,-0.005421,8.0000
4.119983,0.824325,0.4949,1.1010,0.148031,-0.008815,8.0000
4.218774,0.839006,0.5013,1.0441,0.146959,-0.013151,8.0000
4.317639,0.853565,0.5002,0.9941,0.145366,-0.018749,8.0000
4.416436,0.867927,0.5044,0.9403,0.143364,-0.017378,8.0000
4.515327,0.882133,0.5011,0.8872,0.142163,-0.006611,8.0000
4.614173,0.896266,0.5031,0.8426,0.142056,0.004659,8.0000
4.713065,0.910452,0.5006,0.8079,0.143108,0.016424,7.9786
4.811912,0.924797,0.5011,0.7818,0.145260,0.025016,7.9213
4.910743,0.939390,0.4966,0.7461,0.148019,0.030218,7.8675
5.009515,0.954278,0.4962,0.7222,0.151229,0.032821,7.8150
5.108254,0.969491,0.5069,0.7114,0.154519,0.033019,7.7622
5.206929,0.985027,0.5059,0.7018,0.157813,0.032745,7.7089
5.305571,1.000889,0.5057,0.6922,0.161052,0.032091,7.6546
5.404142,1.017064,0.5042,0.6910,0.164227,0.031507,7.5992
5.502686,1.033553,0.5130,0.6825,0.167348,0.030971,7.5426
5.601152,1.050343,0.5109,0.6883,0.170416,0.030469,7.4848
5.699600,1.067437,0.5156,0.7080,0.173436,0.029989,7.4259
5.797960,1.084821,0.5132,0.7341,0.176408,0.029521,7.3659
5.896309,1.102502,0.5140,0.7540,0.179335,0.029060,7.3047
5.994565,1.120460,0.5112,0.7859,0.182215,0.028591,7.2423
6.092814,1.138708,0.5279,0.8284,0.185048,0.028121,7.1787
6.190966,1.157223,0.5324,0.8797,0.187833,0.027627,7.1139
6.289113,1.176018,0.5355,0.9192,0.190568,0.027127,7.0478
6.387164,1.195069,0.5319,0.9672,0.193252,0.026595,6.9805
6.485209,1.214391,0.5472,0.9892,0.195883,0.026053,6.9117
6.583160,1.233958,0.5558,0.9941,0.198457,0.025475,6.8416
6.681102,1.253784,0.5610,0.9932,0.200973,0.024884,6.7701
6.778957,1.273844,0.5568,0.9971,0.203428,0.024256,6.6970
6.876797,1.294150,0.5629,0.9758,0.205819,0.023614,6.6225
6.974559,1.314679,0.5585,0.9642,0.208145,0.022935,6.5463
7.072301,1.335438,0.5720,0.9627,0.210402,0.022242,6.4685
7.169972,1.356410,0.5869,0.9508,0.212588,0.021512,6.3890
7.267619,1.377595,0.5993,0.9404,0.214701,0.020767,6.3077
7.365203,1.398980,0.6250,0.9269,0.216737,0.019989,6.2246
7.462760,1.420562,0.6363,0.9151,0.218694,0.019194,6.1395
7.560262,1.442328,0.6332,0.9002,0.220571,0.018366,6.0525
7.657735,1.464276,0.6443,0.8961,0.222364,0.017517,5.9635
7.755160,1.486392,0.6464,0.9029,0.224071,0.016642,5.8723
7.852554,1.508672,0.6573,0.9099,0.225689,0.015748,5.7789
7.949908,1.531104,0.6652,0.9146,0.227216,0.014804,5.6833
8.047233,1.553680,0.6759,0.9086,0.228646,0.013818,5.5851
8.144521,1.576390,0.6988,0.9092,0.229978,0.012859,5.4845
8.241783,1.599225,0.7091,0.9018,0.231216,0.011921,5.3812
8.339016,1.622176,0.7129,0.9028,0.232354,0.010738,5.2753
8.436225,1.645231,0.7234,0.8940,0.233355,0.009314,5.1663
8.533413,1.668376,0.7472,0.8911,0.234230,0.008527,5.0541
8.630578,1.691604,0.7612,0.8806,0.235078,0.008459,4.9387
8.727706,1.714910,0.7695,0.8813,0.235885,0.006775,4.8205
8.824816,1.738280,0.7802,0.8735,0.236372,0.002994,4.6984
8.921943,1.761683,0.7988,0.8717,0.236439,-0.003002,4.5711
9.019054,1.785051,0.8096,0.8582,0.235673,-0.012329,4.4444
9.116276,1.808320,0.8322,0.8410,0.234172,-0.010457,4.3139
9.213454,1.831486,0.8482,0.8268,0.234250,0.011997,4.1788
9.310658,1.854783,0.8548,0.8244,0.236603,0.036702,4.0489
9.407745,1.878432,0.8644,0.8179,0.241780,0.066937,3.9258
9.504656,1.902728,0.8858,0.8148,0.250017,0.099811,3.8097
9.601369,1.928009,0.8965,0.8007,0.262029,0.140623,3.7030
9.697621,1.954620,0.9060,0.7931,0.278135,0.181673,3.6053
9.793510,1.983013,0.9159,0.7765,0.298291,0.221620,3.5156
9.888560,2.013464,0.9385,0.7649,0.322443,0.261618,3.4338
9.983007,2.046461,0.9643,0.7461,0.350386,0.297226,3.3579
10.076168,2.082148,0.9883,0.7331,0.381869,0.333382,3.2881
10.168383,2.121036,1.0171,0.7118,0.416825,0.365470,3.2227
10.258797,2.163116,1.0432,0.6814,0.454942,0.398648,3.1620
10.347797,2.208931,1.0743,0.6328,0.496368,0.429353,3.1052
10.434410,2.258328,1.1030,0.5931,0.540792,0.461763,3.0526
10.518985,2.311879,1.1438,0.5518,0.588674,0.495259,3.0048
10.600479,2.369317,1.1754,0.5057,0.639835,0.531667,2.9629
10.679079,2.431219,1.2193,0.4658,0.695052,0.572214,2.9286
10.753790,2.497314,1.2742,0.4110,0.754233,0.617272,2.9042
10.824463,2.568091,1.3319,0.3691,0.819077,0.680287,2.8970
10.890253,2.643620,1.3901,0.3441,0.889912,0.701885,2.8959
10.950779,2.723793,1.4584,0.2981,0.957539,0.653328,2.8947
11.005927,2.807826,1.5345,0.2753,1.021447,0.580861,2.9078
11.055719,2.894108,1.4832,0.2554,1.070126,0.386471,2.9400
11.101612,2.981044,1.4300,0.2520,1.095527,0.107799,3.0241
11.147121,3.069411,1.3821,0.2843,1.089911,-0.130399,3.0298
11.191571,3.155281,1.3277,0.3145,1.104611,0.383247,2.9428
11.235295,3.247910,1.2693,0.3692,1.158789,0.588969,2.9111
11.272348,3.339832,1.2156,0.4215,1.216519,0.591204,2.8795
11.304767,3.436714,1.1608,0.4782,1.280623,0.660092,2.8617
11.330286,3.533850,1.1196,0.5291,1.347421,0.675693,2.8462
11.348943,3.631312,1.0916,0.5751,1.416759,0.727173,2.8451
11.360858,3.731279,1.0594,0.6023,1.486212,0.646337,2.8440
11.366235,3.830310,1.0426,0.6352,1.545072,0.536270,2.8659
11.366271,3.930381,1.0208,0.6566,1.594464,0.453192,2.9160
11.361796,4.029974,1.0105,0.6795,1.635559,0.370837,2.9837
11.353597,4.129620,1.0037,0.6882,1.669086,0.300903,3.0679
11.342431,4.228788,0.9971,0.7056,1.695583,0.229685,3.1647
11.328922,4.327739,0.9926,0.7123,1.717121,0.209283,3.2747
11.313343,4.426421,0.9874,0.7248,1.737436,0.197299,3.3828
11.295828,4.524653,0.9740,0.7257,1.757092,0.198965,3.4870
11.276328,4.622710,0.9673,0.7285,1.777166,0.202393,3.5837
11.254899,4.720142,0.9516,0.7276,1.797421,0.203353,3.6728
11.231435,4.817369,0.9482,0.7286,1.817798,0.204146,3.7559
11.206037,4.913932,0.9503,0.7255,1.838153,0.203148,3.8336
11.178649,5.010086,0.9476,0.7160,1.858408,0.202154,3.9070
11.149344,5.105601,0.9574,0.7080,1.878542,0.200598,3.9765
11.118122,5.200533,0.9593,0.6887,1.898510,0.199127,4.0426
11.085015,5.294833,0.9695,0.6774,1.918324,0.196989,4.1056
11.050068,5.388435,0.9681,0.6556,1.937887,0.194697,4.1660
11.013291,5.481380,0.9784,0.6435,1.957230,0.191946,4.2241
10.974755,5.573561,0.9900,0.6193,1.976251,0.188901,4.2803
10.934471,5.665030,1.0000,0.6029,1.994980,0.185505,4.3349
10.892507,5.755719,1.0216,0.5765,2.013321,0.181638,4.3882
10.848907,5.845624,1.0391,0.5639,2.031281,0.177492,4.4406
10.803704,5.934773,1.0599,0.5357,2.048780,0.172706,4.4923
10.757003,6.023065,1.0911,0.5235,2.065794,0.167675,4.5436
10.708780,6.110650,1.1147,0.5177,2.082270,0.161914,4.5949
10.659215,6.197326,1.1442,0.5058,2.098147,0.155799,4.6465
10.608229,6.283351,1.1672,0.5119,2.113374,0.148735,4.6986
10.556061,6.368462,1.1948,0.5127,2.127865,0.141479,4.7518
10.502606,6.452968,1.2128,0.5201,2.141630,0.133789,4.8063
10.448118,6.536613,1.2081,0.5214,2.154573,0.124955,4.8622
10.392518,6.619680,1.2015,0.5303,2.166534,0.114249,4.9202
10.336057,6.701985,1.1954,0.5262,2.177446,0.105959,4.9813
10.278683,6.783751,1.1861,0.5373,2.187761,0.100387,5.0443
10.220547,6.864859,1.1828,0.5380,2.197614,0.099707,5.1079
10.161555,6.945453,1.1710,0.5559,2.207763,0.103381,5.1698
10.101776,7.025380,1.1686,0.5735,2.218200,0.105283,5.2279
10.041085,7.104773,1.1668,0.5886,2.228768,0.106135,5.2830
9.979638,7.183410,1.1625,0.5898,2.239463,0.108801,5.3360
9.917216,7.261530,1.1602,0.5870,2.250506,0.111989,5.3859
9.854073,7.338765,1.1541,0.5954,2.261850,0.115550,5.4326
9.789852,7.415492,1.1374,0.5954,2.273591,0.119101,5.4758
9.724930,7.491208,1.1203,0.6107,2.285654,0.122846,5.5158
9.658854,7.566384,1.1026,0.6271,2.298138,0.126584,5.5525
9.592068,7.640457,1.0897,0.6437,2.310941,0.130144,5.5859
9.524084,7.713914,1.0717,0.6734,2.324147,0.133751,5.6163
9.455356,7.786215,1.0600,0.6904,2.337655,0.137060,5.6437
9.385427,7.857789,1.0419,0.7012,2.351540,0.140498,5.6684
9.314695,7.928181,1.0286,0.6912,2.365718,0.143636,5.6904
9.242790,7.997715,1.0109,0.6942,2.380250,0.146965,5.7098
9.170014,8.066053,1.0044,0.7030,2.395070,0.149910,5.7267
9.096109,8.133396,0.9890,0.7045,2.410214,0.153046,5.7414
9.021267,8.199527,0.9837,0.7185,2.425657,0.156234,5.7538
8.945345,8.264530,0.9683,0.7443,2.441443,0.159698,5.7640
8.868447,8.328272,0.9428,0.7624,2.457516,0.161902,5.7718
8.790491,8.390792,0.9242,0.7773,2.473789,0.163782,5.7781
8.711584,8.451994,0.9000,0.7858,2.489852,0.156006,5.7831
8.631670,8.512006,0.8803,0.7906,2.504933,0.145791,5.7924
8.550949,8.570806,0.8567,0.7964,2.518996,0.135956,5.8073
8.469376,8.628546,0.8457,0.8098,2.532105,0.126406,5.8274
8.387125,8.685219,0.8357,0.8132,2.544288,0.117754,5.8524
8.304177,8.740945,0.8255,0.8105,2.555641,0.109480,5.8817
8.220650,8.795739,0.8124,0.8120,2.566314,0.105611,5.9150
8.136529,8.849662,0.8024,0.8058,2.576779,0.103868,5.9496
8.051864,8.902701,0.7806,0.8056,2.587100,0.103084,5.9843
7.966652,8.954868,0.7644,0.7975,2.597389,0.102891,6.0185
7.880908,9.006157,0.7398,0.7956,2.607659,0.102652,6.0520
7.794646,9.056561,0.7247,0.7934,2.617902,0.102398,6.0846
7.707867,9.106084,0.6985,0.7898,2.628121,0.102106,6.1166
7.620594,9.154715,0.6871,0.7979,2.638305,0.101782,6.1479
7.532825,9.202460,0.6688,0.7953,2.648459,0.101431,6.1786
7.444580,9.249310,0.6566,0.7847,2.658573,0.101037,6.2087
7.355867,9.295267,0.6424,0.7782,2.668649,0.100628,6.2383
7.266691,9.340333,0.6292,0.7600,2.678680,0.100162,6.2673
7.177081,9.384498,0.6287,0.7522,2.688664,0.099690,6.2960
7.087016,9.427778,0.6148,0.7312,2.698598,0.099151,6.3242
6.996555,9.470149,0.6180,0.7223,2.708478,0.098614,6.3520
6.905643,9.511646,0.6154,0.7001,2.718301,0.097999,6.3795
6.814379,9.552227,0.6181,0.6901,2.728061,0.097394,6.4067
6.722663,9.591946,0.6377,0.6778,2.737760,0.096701,6.4336
6.630643,9.630745,0.6452,0.6668,2.747384,0.096023,6.4603
6.538166,9.668695,0.6622,0.6697,2.756944,0.095252,6.4868
6.445435,9.705723,0.6645,0.6664,2.766418,0.094496,6.5132
6.352244,9.741918,0.6656,0.6687,2.775822,0.093646,6.5394
