1.204710,-7.830669
1.315740,-7.833785
1.426601,-7.831856
1.538120,-7.829666
1.650337,-7.827158
1.763293,-7.824276
1.872268,-7.801634
1.981157,-7.777280
2.093589,-7.764379
2.209334,-7.760041
2.319154,-7.732846
2.429092,-7.704522
2.537743,-7.670955
2.643579,-7.628497
2.749175,-7.584996
2.854860,-7.541244
2.952205,-7.477091
3.045696,-7.405365
3.142232,-7.341898
3.224672,-7.250197
3.308364,-7.164137
3.393052,-7.082497
3.483474,-7.013163
3.562720,-6.925472
3.648231,-6.850316
3.733076,-6.775158
3.816337,-6.698530
3.892282,-6.612325
3.957494,-6.513047
4.031934,-6.428450
4.111181,-6.351079
4.190021,-6.273670
4.276821,-6.205591
4.371128,-6.144899
4.449950,-6.066584
4.528663,-5.987936
4.607300,-5.908825
4.686043,-5.829246
4.751838,-5.738037
4.820039,-5.648979
4.895732,-5.565371
4.974773,-5.483100
5.040303,-5.390316
5.101277,-5.294110
5.163069,-5.197967
5.221698,-5.099387
5.281998,-5.000957
5.344677,-4.902558
5.386155,-4.793623
5.430405,-4.685637
5.445968,-4.567070
5.460377,-4.449469
5.494685,-4.338315
5.510962,-4.222249
5.525679,-4.106191
5.562195,-3.993430
5.618177,-3.880638
5.639814,-3.761410
5.674902,-3.640626
5.680757,-3.516935
5.699209,-3.390772
5.718394,-3.261071
5.714152,-3.130932
5.707824,-2.998346
5.702071,-2.861917
5.705359,-2.717462
5.712723,-2.563684
5.695002,-2.411422
5.666756,-2.255668
5.630497,-2.094445
5.583577,-1.928150
5.481338,-1.793715
5.344070,-1.686993
5.193456,-1.594942
5.040828,-1.505986
4.880085,-1.427128
4.715488,-1.349815
4.546854,-1.267218
4.368194,-1.180353
4.175309,-1.099459
3.968088,-1.093978
3.763561,-1.100501
3.564604,-1.117476
3.370292,-1.143527
3.192285,-1.205098
3.063689,-1.349799
2.959675,-1.502348
2.873927,-1.653261
2.798598,-1.795145
2.727943,-1.925747
2.670447,-2.057008
2.615813,-2.180223
2.553933,-2.289740
2.514969,-2.410688
2.488437,-2.533672
2.449234,-2.642701
2.392253,-2.737335
2.334082,-2.829104
2.286413,-2.924593
2.245149,-3.021169
2.204791,-3.115910
2.162341,-3.207417
2.109449,-3.291445
2.058767,-3.374575
2.022672,-3.463590
1.979815,-3.547411
1.919068,-3.619333
1.875141,-3.699321
1.818648,-3.769837
1.774057,-3.846403
1.714561,-3.910831
1.670124,-3.984647
1.615666,-4.049158
1.556231,-4.107238
1.498504,-4.164536
1.442406,-4.221502
1.387621,-4.278485
1.332881,-4.334737
1.270803,-4.379438
1.207631,-4.420581
1.142222,-4.455949
1.073804,-4.484925
0.999167,-4.498353
0.923125,-4.505712
0.844693,-4.500688
0.767351,-4.496793
0.690209,-4.492384
0.612123,-4.469005
0.535248,-4.443581
0.458083,-4.444130
0.379684,-4.440151
0.299986,-4.434818
0.221439,-4.412810
0.145751,-4.373500
0.073892,-4.319077
0.001589,-4.270092
-0.075359,-4.238044
-0.152696,-4.204338
-0.231038,-4.170591
-0.307309,-4.128063
-0.379300,-4.072172
-0.454608,-4.022977
-0.527707,-3.966163
-0.596689,-3.897820
-0.674297,-3.846497
-0.750081,-3.788020
-0.828226,-3.731327
-0.906419,-3.671186
-0.983487,-3.604926
-1.060105,-3.533665
-1.137656,-3.459852
-1.217202,-3.385218
-1.298817,-3.309434
-1.382849,-3.232722
-1.477053,-3.172064
-1.572323,-3.107299
-1.672421,-3.046827
-1.776759,-2.989393
-1.885017,-2.934301
-1.993329,-2.870460
-2.107555,-2.813597
-2.224614,-2.755764
-2.342685,-2.690450
-2.461307,-2.618666
-2.579927,-2.541579
-2.702033,-2.478066
