1.092043,-7.138377,7.851700
1.190570,-7.121703,7.794900
1.288875,-7.103768,7.738500
1.386938,-7.084549,7.682300
1.484734,-7.064020,7.626400
1.582241,-7.042158,7.570800
1.679433,-7.018939,7.515500
1.776286,-6.994340,7.460300
1.872771,-6.968338,7.405400
1.968861,-6.940910,7.350700
2.064525,-6.912034,7.296100
2.159734,-6.881688,7.241700
2.254453,-6.849850,7.187400
2.348651,-6.816499,7.133200
2.442291,-6.781614,7.079200
2.535338,-6.745175,7.025200
2.627753,-6.707162,6.971200
2.719497,-6.667558,6.917300
2.810528,-6.626342,6.863400
2.900804,-6.583498,6.809600
2.990281,-6.539009,6.755700
3.078913,-6.492858,6.701800
3.166651,-6.445032,6.647800
3.253447,-6.395514,6.593800
3.339247,-6.344293,6.539700
3.424001,-6.291357,6.485500
3.507650,-6.236694,6.431200
3.590140,-6.180295,6.376700
3.671409,-6.122152,6.322100
3.751397,-6.062258,6.267300
3.830039,-6.000609,6.212300
3.907270,-5.937200,6.157200
3.983021,-5.872031,6.101800
4.057222,-5.805102,6.046100
4.129799,-5.736416,5.990200
4.200677,-5.665977,5.934000
4.269776,-5.593794,5.877500
4.337017,-5.519876,5.820700
4.402316,-5.444238,5.763500
4.465586,-5.366894,5.706000
4.526737,-5.287865,5.648100
4.585679,-5.207174,5.589800
4.642315,-5.124850,5.531100
4.696547,-5.040922,5.471900
4.748274,-4.955428,5.412300
4.797393,-4.868408,5.352200
4.843793,-4.779911,5.291600
4.887367,-4.689987,5.230500
4.927998,-4.598697,5.168800
4.965570,-4.506106,5.106500
4.999963,-4.412288,5.043600
5.031054,-4.317324,4.980200
5.058714,-4.221306,4.916000
5.082816,-4.124333,4.851200
5.103226,-4.026518,4.785700
5.119810,-3.927981,4.719500
5.132429,-3.828860,4.652600
5.140946,-3.729301,4.584900
5.145219,-3.629473,4.516400
5.145106,-3.529552,4.447200
5.140466,-3.429740,4.377100
5.131155,-3.330255,4.306300
5.117035,-3.231340,4.234700
5.097968,-3.133257,4.162300
5.073824,-3.036303,4.089100
5.044474,-2.940793,4.015300
5.009804,-2.847087,3.941000
4.969708,-2.755569,3.866200
4.924102,-2.666675,3.791100
4.872915,-2.580870,3.716200
4.816112,-2.498682,3.641700
4.753684,-2.420676,3.568400
4.685678,-2.347495,3.497100
4.612180,-2.279823,3.429200
4.533372,-2.218438,3.366500
4.449497,-2.164167,3.312000
4.360952,-2.117943,3.270000
4.268244,-2.080732,3.241000
4.172155,-2.053517,3.233400
4.073622,-2.037162,3.225700
3.973882,-2.032060,3.224500
3.874215,-2.038295,3.223300
3.775754,-2.055197,3.247700
3.679505,-2.081893,3.287900
3.586131,-2.117416,3.345400
3.496149,-2.160801,3.415100
3.409863,-2.211169,3.494000
3.327485,-2.267690,3.579900
3.249079,-2.329624,3.671800
3.174649,-2.396274,3.769000
3.104097,-2.467030,3.871300
3.037280,-2.541319,3.978900
2.973988,-2.618641,4.091900
2.913979,-2.698534,4.211000
2.856961,-2.780596,4.336600
2.802621,-2.864452,4.469400
2.750614,-2.949779,4.610400
2.700580,-3.036276,4.752200
2.652137,-3.123677,4.888200
2.604894,-3.211732,5.019100
2.558449,-3.300212,5.145200
2.512396,-3.388895,5.267000
2.466329,-3.477572,5.384700
2.419848,-3.566033,5.498800
2.372584,-3.654075,5.437600
2.324185,-3.741501,5.318500
2.274362,-3.828121,5.195700
2.222842,-3.913742,5.075000
