7.863036,-1.643496
7.936955,-1.624584
7.983269,-1.604904
8.022759,-1.582349
8.050951,-1.551779
8.079201,-1.528804
8.099161,-1.498909
8.121922,-1.471031
8.140056,-1.436289
8.163931,-1.399353
8.193834,-1.357523
8.213178,-1.305407
8.218361,-1.245429
8.208275,-1.180544
8.183124,-1.113708
8.161400,-1.046161
8.137941,-0.977165
8.108418,-0.907522
8.079787,-0.837163
8.051669,-0.764969
8.023903,-0.691207
7.996311,-0.615858
7.968402,-0.537844
7.940676,-0.457422
7.912888,-0.374966
7.884417,-0.290223
7.854443,-0.201366
7.822704,-0.108033
7.790028,-0.012478
7.756788,0.084345
7.717753,0.178802
7.686544,0.275075
7.655350,0.371085
7.612004,0.466653
7.577805,0.570652
7.536096,0.672773
7.501909,0.774614
7.468406,0.873657
7.435313,0.971487
7.402649,1.067679
7.370482,1.161970
7.339006,1.253743
7.308253,1.342211
7.278885,1.427974
7.250017,1.511714
7.221886,1.593773
7.194610,1.674146
7.167206,1.752460
7.143487,1.830010
7.120343,1.906176
7.096188,1.980866
7.068812,2.052144
7.043637,2.122835
7.021000,2.194951
6.987093,2.258856
6.953291,2.321922
6.919475,2.385588
6.874189,2.438640
6.819844,2.480899
6.765294,2.521927
6.706310,2.556998
6.642972,2.585446
6.573587,2.602522
6.503584,2.617628
6.433769,2.633996
6.362970,2.650172
6.288419,2.658522
6.212552,2.668230
6.133572,2.672373
6.053029,2.677054
5.971787,2.688366
5.888847,2.701835
5.803176,2.715942
5.713590,2.720760
5.621850,2.729913
5.528144,2.745119
5.431735,2.760519
5.332027,2.776122
5.228575,2.789016
5.121297,2.792596
5.014354,2.808836
4.910469,2.825388
4.808833,2.840479
4.706808,2.849700
4.605739,2.858500
4.505579,2.874693
4.406000,2.890782
4.307591,2.906688
4.207816,2.917511
4.106890,2.922903
4.007787,2.938813
3.909550,2.954576
3.811893,2.970228
3.713441,2.977596
3.614816,2.985791
3.516757,3.001413
3.419370,3.016916
3.322516,3.032321
3.226330,3.047618
3.129700,3.051184
3.036761,3.062216
2.945911,3.077017
2.852736,3.092047
2.756389,3.107299
2.655924,3.107663
2.553846,3.123793
2.449090,3.140343
2.341885,3.154787
2.231897,3.160775
2.120795,3.175919
2.007827,3.194027
1.891740,3.208106
1.772866,3.221580
1.651894,3.238187
1.529635,3.260672
1.404385,3.285126
1.276147,3.311973
1.145152,3.341577
1.010272,3.374996
0.875122,3.419329
0.736701,3.466634
0.600097,3.525252
0.473633,3.605944
0.371647,3.719274
0.271749,3.835729
0.194211,3.968061
0.123801,4.094549
0.062635,4.216848
0.005626,4.333309
-0.038682,4.449656
-0.081980,4.559734
-0.120909,4.666495
-0.161589,4.768051
-0.204020,4.864990
-0.237625,4.962241
-0.269926,5.056446
-0.301867,5.147752
-0.331202,5.237143
-0.367727,5.319868
-0.401836,5.399971
-0.427139,5.480337
-0.458911,5.553330
-0.488077,5.623628
-0.520049,5.687201
-0.552873,5.745787
-0.585262,5.801832
-0.624543,5.853164
-0.673815,5.898876
-0.727335,5.943086
-0.790642,5.974201
-0.858623,5.997929
-0.930441,6.016321
-1.003772,6.030502
-1.077390,6.043292
-1.150847,6.058707
-1.228043,6.067168
-1.304649,6.080155
-1.381093,6.100587
-1.461874,6.114155
-1.544803,6.126591
-1.629636,6.139727
-1.715611,6.159191
-1.804290,6.179729
-1.896073,6.198116
-1.991023,6.213260
-2.088360,6.232990
-2.187861,6.257809
-2.291295,6.276382
-2.398301,6.293153
-2.505836,6.313063
-2.608467,6.343013
-2.710166,6.359666
-2.811409,6.376204
-2.911021,6.394687
-3.007819,6.420848
-3.106576,6.440096
-3.205769,6.456057
-3.304651,6.472876
-3.402248,6.497309
-3.500042,6.519104
-3.598789,6.534797
-3.697563,6.550460
-3.793783,6.578766
-3.892042,6.596961
-3.991080,6.612541
-4.090070,6.628078
-4.185836,6.656549
-4.283491,6.675369
-4.381952,6.691385
-4.480633,6.707404
-4.577792,6.731756
-4.674723,6.754868
-4.773120,6.770687
-4.871782,6.786521
-4.968612,6.811458
-5.065963,6.833512
-5.164090,6.849099
