8.001277,-2.152824,4.178480
8.097671,-2.126660,4.146753
8.191333,-2.091986,4.126397
8.281132,-2.048293,4.126397
8.365749,-1.995270,4.114017
8.443717,-1.932887,4.112428
8.513775,-1.861739,4.110839
8.575006,-1.782860,4.119312
8.626814,-1.697495,4.135015
8.669311,-1.607122,4.161342
8.702669,-1.512984,4.161342
8.727620,-1.416272,4.195969
8.744719,-1.317860,4.237127
8.754837,-1.218483,4.283430
8.758546,-1.118657,4.333803
8.756555,-1.018778,4.387414
8.749367,-0.919137,4.443623
8.737682,-0.819920,4.501930
8.721822,-0.721282,4.561951
8.702198,-0.623322,4.623386
8.679317,-0.526072,4.686012
8.653386,-0.429588,4.749656
8.624825,-0.333849,4.814197
8.594090,-0.238785,4.879543
8.561423,-0.144367,4.945637
8.527149,-0.050520,5.012444
8.491601,0.042853,5.079950
8.455632,0.136065,5.148156
8.419698,0.229290,5.217081
8.384006,0.322609,5.286752
8.348739,0.416088,5.357210
8.313671,0.509642,5.428476
8.278735,0.603246,5.571266
8.243933,0.696900,5.639692
8.210330,0.790990,5.705284
8.178202,0.885593,5.767407
8.147466,0.980658,5.826245
8.117445,1.075952,5.881958
8.088007,1.171427,5.934686
8.058918,1.267010,5.984553
8.029933,1.362625,6.031666
8.000750,1.458179,6.076117
7.970952,1.553542,6.117987
7.940041,1.648551,6.157347
7.907716,1.743087,6.194257
7.873733,1.837039,6.228769
7.837855,1.930284,6.260927
7.799816,2.022668,6.290767
7.759373,2.114024,6.318321
7.716151,2.204097,6.343612
7.670022,2.292716,6.366662
7.620757,2.379631,6.387483
7.568084,2.464522,6.406088
7.511712,2.547001,6.422482
7.451644,2.626825,6.436668
7.387693,2.703572,6.436668
7.319819,2.776871,6.448644
7.248093,2.846404,6.458409
7.172617,2.911850,6.465954
7.093551,2.972911,6.471374
7.011145,3.029381,6.476122
6.925740,3.081202,6.480514
6.837659,3.128333,6.490319
6.747255,3.170840,6.505224
6.654865,3.208848,6.526330
6.560816,3.242547,6.553243
6.465392,3.272130,6.585630
6.368870,3.297907,6.623202
6.271498,3.320264,6.665720
6.173462,3.339506,6.712978
6.074925,3.356001,6.712978
5.976003,3.370011,6.764815
5.876796,3.381844,6.821097
5.777400,3.391967,6.881724
5.677877,3.400755,6.946621
5.578275,3.408598,7.015740
5.478624,3.415810,7.089057
5.378962,3.422859,7.162639
5.279327,3.430274,7.234890
5.179766,3.438625,7.305861
5.080323,3.448285,7.375596
4.981003,3.459130,7.444141
4.881728,3.470388,7.511536
4.782506,3.482101,7.577820
4.683323,3.494137,7.643030
4.584156,3.506311,7.707201
4.485030,3.518806,7.770366
4.385898,3.531259,7.832556
4.286760,3.543664,7.893801
4.187645,3.556254,7.954129
4.088543,3.568938,7.906754
3.989444,3.581656,7.840000
3.890323,3.594192,7.772279
3.791182,3.606576,7.703562
3.692010,3.618704,7.633815
3.592830,3.630769,7.563002
3.493633,3.642682,7.491086
3.394401,3.654317,7.418028
3.295132,3.665623,7.343787
3.195807,3.676427,7.268316
3.096419,3.686633,7.191571
2.996898,3.695431,7.113499
2.897278,3.703052,7.034049
2.797606,3.709959,6.957538
2.697922,3.716686,6.885028
2.598258,3.723706,6.816522
2.498647,3.731439,6.752055
2.399139,3.740400,6.691678
2.299780,3.750882,6.635475
2.200638,3.763235,6.583554
2.101797,3.777797,6.536061
2.003379,3.794988,6.493166
1.905523,3.815133,6.455091
1.808404,3.838565,6.422090
1.712207,3.865528,6.394474
1.617159,3.896291,6.372597
1.523557,3.931205,6.356884
1.431667,3.970403,6.356884
1.341792,4.014024,6.347415
1.254375,4.062380,6.342102
1.169760,4.115483,6.339653
1.088259,4.173250,6.337203
1.010251,4.235648,6.342255
0.936269,4.302772,6.354980
0.866752,4.374505,6.379859
0.802247,4.450780,6.416266
0.742586,4.530904,6.464280
0.687143,4.614008,6.523422
0.635391,4.699462,6.593358
0.586728,4.786717,6.673853
0.540602,4.875341,6.755469
0.496384,4.964932,6.755469
0.453631,5.055233,6.835430
0.411865,5.145995,6.913808
0.370686,5.237026,6.990668
