x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
3.724859,0.732463,0.4793,1.1380,0.138133,-0.006616,9.6383
3.823824,0.746188,0.4668,1.1471,0.137464,-0.006777,9.6772
3.922799,0.759845,0.4638,1.1483,0.136779,-0.006938,9.7157
4.021784,0.773434,0.4735,1.1502,0.136078,-0.007098,9.7273
4.120778,0.786952,0.4607,1.1605,0.135360,-0.007259,9.6816
4.219782,0.800399,0.4522,1.1593,0.134627,-0.007420,9.6355
4.318796,0.813773,0.4654,1.1544,0.133878,-0.007581,9.5889
4.417819,0.827071,0.4785,1.1139,0.133112,-0.007742,9.5419
4.516854,0.840293,0.4587,1.0424,0.132331,-0.007903,9.4944
4.615898,0.853436,0.4536,0.9759,0.131533,-0.008064,9.4465
4.714953,0.866500,0.4667,0.9156,0.130719,-0.008225,9.3981
4.814019,0.879483,0.4434,0.8628,0.129889,-0.008386,9.3492
4.913096,0.892382,0.4416,0.8189,0.129044,-0.008546,9.2998
5.012183,0.905197,0.4545,0.7854,0.128182,-0.008707,9.2499
5.111282,0.917925,0.4606,0.7636,0.127304,-0.008868,9.1995
5.210392,0.930566,0.4403,0.7547,0.126410,-0.009029,9.1486
5.309513,0.943117,0.4421,0.7558,0.125499,-0.009190,9.0972
5.408646,0.955578,0.4546,0.7455,0.124573,-0.009351,9.0452
5.507791,0.967946,0.4443,0.7410,0.123631,-0.009512,8.9926
5.606947,0.980219,0.4365,0.7501,0.122672,-0.009673,8.9395
5.706115,0.992397,0.4418,0.7721,0.121698,-0.009834,8.8858
5.805295,1.004477,0.4341,0.8061,0.120707,-0.009995,8.8315
5.904487,1.016458,0.4199,0.8507,0.119701,-0.010156,8.7766
6.003691,1.028338,0.4291,0.9042,0.118678,-0.010317,8.7210
6.102907,1.040117,0.4407,0.9652,0.117639,-0.010478,8.6648
6.202135,1.051791,0.4253,1.0283,0.116584,-0.010639,8.6080
6.301376,1.063360,0.4146,1.0944,0.115513,-0.010800,8.5504
6.400629,1.074822,0.4261,1.1263,0.114426,-0.010961,8.4922
6.499895,1.086175,0.4374,1.1205,0.113323,-0.011122,8.4333
6.599173,1.097418,0.4155,1.1238,0.112203,-0.011283,8.3736
